hs6,chapter,desc
010121,01,"010121 - Horses; live, pure-bred breeding animals"
010129,01,"010129 - Horses; live, other than pure-bred breeding animals"
010130,01,010130 - Asses; live
010190,01,010190 - Mules and hinnies; live
010221,01,"010221 - Cattle; live, pure-bred breeding animals"
010229,01,"010229 - Cattle; live, other than pure-bred breeding animals"
010231,01,"010231 - Buffalo; live, pure-bred breeding animals"
010239,01,"010239 - Buffalo; live, other than pure-bred breeding animals"
010290,01,"010290 - Bovine animals; live, other than cattle and buffalo"
010310,01,"010310 - Swine; live, pure-bred breeding animals"
010391,01,"010391 - Swine; live, other than pure-bred breeding animals, weighing less than 50kg"
010392,01,"010392 - Swine; live, other than pure-bred breeding animals, weighing 50kg or more"
010410,01,010410 - Sheep; live
010420,01,010420 - Goats; live
010511,01,"010511 - Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g"
010512,01,"010512 - Poultry; live, turkeys, weighing not more than 185g"
010513,01,"010513 - Poultry; live, ducks, weighing not more than 185g"
010514,01,"010514 - Poultry; live, geese, weighing not more than 185g"
010515,01,"010515 - Poultry; live, guinea fowls, weighing not more than 185g"
010594,01,"010594 - Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g"
010599,01,"010599 - Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g"
010611,01,"010611 - Mammals; live, primates"
010612,01,"010612 - Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
010613,01,"010613 - Mammals; live, camels and other camelids (Camelidae)"
010614,01,"010614 - Mammals; live, rabbits and hares"
010619,01,"010619 - Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares"
010620,01,010620 - Reptiles; live (including snakes and turtles)
010631,01,"010631 - Birds; live, birds of prey"
010632,01,"010632 - Birds; live, Psittaciformes"
010633,01,"010633 - Birds; live, ostriches; emus (Dromaius novaehollandiae)"
010639,01,"010639 - Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)"
010641,01,"010641 - Insects; live, bees"
010649,01,"010649 - Insects; live, other than bees"
010690,01,"010690 - Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects"
020110,02,"020110 - Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled"
020120,02,"020120 - Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled"
020130,02,"020130 - Meat; of bovine animals, boneless cuts, fresh or chilled"
020210,02,"020210 - Meat; of bovine animals, carcasses and half-carcasses, frozen"
020220,02,"020220 - Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen"
020230,02,"020230 - Meat; of bovine animals, boneless cuts, frozen"
020311,02,"020311 - Meat; of swine, carcasses and half-carcasses, fresh or chilled"
020312,02,"020312 - Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled"
020319,02,"020319 - Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled"
020321,02,"020321 - Meat; of swine, carcasses and half-carcasses, frozen"
020322,02,"020322 - Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen"
020329,02,"020329 - Meat; of swine, n.e.c. in item no. 0203.2, frozen"
020410,02,"020410 - Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled"
020421,02,"020421 - Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled"
020422,02,"020422 - Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled"
020423,02,"020423 - Meat; of sheep (including lamb), boneless cuts, fresh or chilled"
020430,02,"020430 - Meat; of sheep, lamb carcasses and half-carcasses, frozen"
020441,02,"020441 - Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen"
020442,02,"020442 - Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen"
020443,02,"020443 - Meat; of sheep (including lamb), boneless cuts, frozen"
020450,02,"020450 - Meat; of goats, fresh, chilled or frozen"
020500,02,"020500 - Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen"
020610,02,"020610 - Offal, edible; of bovine animals, fresh or chilled"
020621,02,"020621 - Offal, edible; of bovine animals, tongues, frozen"
020622,02,"020622 - Offal, edible; of bovine animals, livers, frozen"
020629,02,"020629 - Offal, edible; of bovine animals, (other than tongues and livers), frozen"
020630,02,"020630 - Offal, edible; of swine, fresh or chilled"
020641,02,"020641 - Offal, edible; of swine, livers, frozen"
020649,02,"020649 - Offal, edible; of swine, (other than livers), frozen"
020680,02,"020680 - Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled"
020690,02,"020690 - Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen"
020711,02,"020711 - Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled"
020712,02,"020712 - Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen"
020713,02,"020713 - Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled"
020714,02,"020714 - Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen"
020724,02,"020724 - Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled"
020725,02,"020725 - Meat and edible offal; of turkeys, not cut in pieces, frozen"
020726,02,"020726 - Meat and edible offal; of turkeys, cuts and offal, fresh or chilled"
020727,02,"020727 - Meat and edible offal; of turkeys, cuts and offal, frozen"
020741,02,"020741 - Meat and edible offal; of ducks, not cut in pieces, fresh or chilled"
020742,02,"020742 - Meat and edible offal; of ducks, not cut in pieces, frozen"
020743,02,"020743 - Meat and edible offal; of ducks, fatty livers (foie gras), fresh or chilled"
020744,02,"020744 - Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, fresh or chilled"
020745,02,"020745 - Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen"
020751,02,"020751 - Meat and edible offal; of geese, not cut in pieces, fresh or chilled"
020752,02,"020752 - Meat and edible offal; of geese, not cut in pieces, frozen"
020753,02,"020753 - Meat and edible offal; of geese, fatty livers (foie gras), fresh or chilled"
020754,02,"020754 - Meat and edible offal; of geese, cuts and offal, excluding fatty livers, fresh or chilled"
020755,02,"020755 - Meat and edible offal; of geese, cuts and offal, excluding fatty livers, frozen"
020760,02,"020760 - Meat and edible offal; of guinea fowls, fresh, chilled or frozen"
020810,02,"020810 - Meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen"
020830,02,"020830 - Meat and edible meat offal; of primates, fresh, chilled or frozen"
020840,02,"020840 - Meat and edible meat offal; of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia), fresh, chilled or frozen"
020850,02,"020850 - Meat and edible meat offal; of reptiles (including snakes and turtles), fresh, chilled or frozen"
020860,02,"020860 - Meat and edible meat offal; of camels and other camelids (Camelidae), fresh, chilled or frozen"
020890,02,"020890 - Meat and edible meat offal; n.e.c. in chapter 2, fresh, chilled or frozen"
020910,02,"020910 - Fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
